exp,verb,item,sent,bias,isHigh ,gender,score,score_raw,score_gil,score_mbert
ic_mismatch,schiaffeggia,0,l'uomo schiaffeggia la donna perché è [+female].,71,0,f,,0.3771728501,0.1910510184,0.4960818469
ic_mismatch,schiaffeggia,0,la donna schiaffeggia l'uomo perché è [+male].,71,0,m,,0.3234468065,0.1727257185,0.1931183448
ic_mismatch,schiaffeggia,0,la donna schiaffeggia l'uomo perché è [+female].,71,1,f,,0.0441964371,0.1876458353,0.3592961007
ic_mismatch,balla con,0,l'uomo balla con la donna perché è [+male].,41.25,1,m,,0.2065318213,0.23482727,0.1988889454
ic_mismatch,balla con,0,l'uomo balla con la donna perché è [+female].,41.25,0,f,,0.1921337401,0.140975751,0.2438428664
ic_mismatch,balla con,0,la donna balla con l'uomo perché è [+male].,41.25,0,m,,0.1609351397,0.1466004082,0.05319950788
ic_mismatch,balla con,0,la donna balla con l'uomo perché è [+female].,41.25,1,f,,0.1913374611,0.2178941509,0.4676006481
ic_mismatch,bacia,0,l'uomo bacia la donna perché è [+male].,35,1,m,,0.1220827708,0.2599293725,0.1071933259
ic_mismatch,bacia,0,l'uomo bacia la donna perché è [+female].,35,0,f,,0.204738311,0.1376515394,0.5221587195
ic_mismatch,bacia,0,la donna bacia l'uomo perché è [+male].,35,0,m,,0.2105801632,0.1794595802,0.1230620122
ic_mismatch,bacia,0,la donna bacia l'uomo perché è [+female].,35,1,f,,0.1134348125,0.1819798835,0.506531265
ic_mismatch,trattiene,0,l'uomo trattiene la donna perché è [+male].,37.5,1,m,,0.0136668603,0.1835092339,0.05896369927
ic_mismatch,trattiene,0,l'uomo trattiene la donna perché è [+female].,37.5,0,f,,0.3627190357,0.1484061088,0.5787899501
ic_mismatch,trattiene,0,la donna trattiene l'uomo perché è [+male].,37.5,0,m,,0.2332104151,0.1307295086,0.3281537718
ic_mismatch,trattiene,0,la donna trattiene l'uomo perché è [+female].,37.5,1,f,,0.054258883,0.1972818002,0.2534454276
ic_mismatch,telefona,0,l'uomo telefona alla donna perché è [+male].,20,1,m,,0.1493572001,0.1942211166,0.3563716885
ic_mismatch,telefona,0,l'uomo telefona alla donna perché è [+female].,20,0,f,,0.2936867247,0.1638445789,0.151532956
ic_mismatch,telefona,0,la donna telefona all'uomo perché è [+male].,20,0,m,,0.2140662749,0.2038038382,0.1055225651
ic_mismatch,telefona,0,la donna telefona all'uomo perché è [+female].,20,1,f,,0.2234982536,0.1478608595,0.4348036621
ic_mismatch,fa solletico,0,l'uomo fa solletico alla donna perché è [+male].,73.75,1,m,,0.072721127,0.1882615159,0.09731332061
ic_mismatch,fa solletico,0,l'uomo fa solletico alla donna perché è [+female].,73.75,0,f,,0.208017054,0.1528938776,0.474668039
ic_mismatch,fa solletico,0,la donna fa solletico all'uomo perché è [+male].,73.75,0,m,,0.1786167468,0.1171408966,0.1273420742
ic_mismatch,fa solletico,0,la donna fa solletico all'uomo perché è [+female].,73.75,1,f,,0.1282115597,0.1795512685,0.44056737
ic_mismatch,lusinga,0,l'uomo lusinga la donna perché è [+male].,40,1,m,,0.0309299696,0.1405217834,0.06506661174
ic_mismatch,lusinga,0,l'uomo lusinga la donna perché è [+female].,40,0,f,,0.3608139474,0.2060668804,0.5412176707
ic_mismatch,lusinga,0,la donna lusinga l'uomo perché è [+male].,40,0,m,,0.2795715816,0.1214005388,0.323816043
ic_mismatch,lusinga,0,la donna lusinga l'uomo perché è [+female].,40,1,f,,0.0969456583,0.2156292009,0.2259315518
ic_mismatch,disobbedisce,0,l'uomo disobbedisce alla donna perché è [+male].,72,1,m,,0.0886797607,0.2526916717,0.2805487028
ic_mismatch,disobbedisce,0,l'uomo disobbedisce alla donna perché è [+female].,72,0,f,,0.2622996368,0.161515363,0.2813361201
ic_mismatch,disobbedisce,0,la donna disobbedisce all'uomo perché è [+male].,72,0,m,,0.0490684188,0.1568987994,0.08669546677
ic_mismatch,disobbedisce,0,la donna disobbedisce all'uomo perché è [+female].,72,1,f,,0.3284840127,0.2222045003,0.517639461
ic_mismatch,aiuta,0,l'uomo aiuta la donna perché è [+male].,52,1,m,,0.0363662937,0.1629065801,0.1157862803
ic_mismatch,aiuta,0,l'uomo aiuta la donna perché è [+female].,52,0,f,,0.2567100218,0.1972789527,0.3990660055
ic_mismatch,aiuta,0,la donna aiuta l'uomo perché è [+male].,52,0,m,,0.2411016477,0.1409342187,0.1177017832
ic_mismatch,aiuta,0,la donna aiuta l'uomo perché è [+female].,52,1,f,,0.0397050399,0.1959781852,0.4017189315
ic_mismatch,imbroglia,0,l'uomo imbroglia la donna perché è [+male].,80,1,m,,0.1222578958,0.1989364005,0.1174439127
ic_mismatch,imbroglia,0,l'uomo imbroglia la donna perché è [+female].,80,0,f,,0.2327257819,0.1875594161,0.4455011517
ic_mismatch,imbroglia,0,la donna imbroglia l'uomo perché è [+male].,80,0,m,,0.1974977921,0.1676748889,0.2250197522
ic_mismatch,imbroglia,0,la donna imbroglia l'uomo perché è [+female].,80,1,f,,0.1384401834,0.1885784953,0.3396998827
ic_mismatch,inganna,0,l'uomo inganna la donna perché è [+male].,79,1,m,,0.139028389,0.1875855499,0.09477133839
ic_mismatch,inganna,0,l'uomo inganna la donna perché è [+female].,79,0,f,,0.1994627747,0.1894858722,0.4989184262
ic_mismatch,inganna,0,la donna inganna l'uomo perché è [+male].,79,0,m,,0.0429381467,0.1287236284,0.1875494526
ic_mismatch,inganna,0,la donna inganna l'uomo perché è [+female].,79,1,f,,0.3430542499,0.2450197143,0.3838621966
ic_mismatch,tradisce,0,l'uomo tradisce la donna perché è [+male].,79,1,m,,0.1463485379,0.278676583,0.0701288351
ic_mismatch,tradisce,0,l'uomo tradisce la donna perché è [+female].,79,0,f,,0.1937309564,0.1211442505,0.6619332466
ic_mismatch,tradisce,0,la donna tradisce l'uomo perché è [+male].,79,0,m,,0.0743504739,0.1720639514,0.2348283023
ic_mismatch,tradisce,0,la donna tradisce l'uomo perché è [+female].,79,1,f,,0.2940948363,0.2125427239,0.4392974599
ic_mismatch,sorprende,0,l'uomo sorprende la donna perché è [+male].,86,1,m,,0.1429270953,0.1356790704,0.1107065666
ic_mismatch,sorprende,0,l'uomo sorprende la donna perché è [+female].,86,0,f,,0.2614954361,0.178435873,0.5746816804
ic_mismatch,sorprende,0,la donna sorprende l'uomo perché è [+male].,86,0,m,,0.2407983132,0.1092116097,0.2266526613
ic_mismatch,sorprende,0,la donna sorprende l'uomo perché è [+female].,86,1,f,,0.1287807138,0.2111939467,0.4326709788
ic_mismatch,salva,0,l'uomo salva la donna perché è [+male].,66,1,m,,0.0204189359,0.2167573925,0.07390623575
ic_mismatch,salva,0,l'uomo salva la donna perché è [+female].,66,0,f,,0.4030157784,0.1914957706,0.7196756545
ic_mismatch,salva,0,la donna salva l'uomo perché è [+male].,66,0,m,,0.2771221185,0.1605956648,0.3419221541
ic_mismatch,salva,0,la donna salva l'uomo perché è [+female].,66,1,f,,0.0749744386,0.2832372703,0.4257397542
ic_mismatch,incoraggia,0,l'uomo incoraggia la donna perché è [+male].,45,1,m,,0.0150439874,0.08365752036,0.0834564101
ic_mismatch,incoraggia,0,l'uomo incoraggia la donna perché è [+female].,45,0,f,,0.279277137,0.1923050429,0.425264876
ic_mismatch,incoraggia,0,la donna incoraggia l'uomo perché è [+male].,45,0,m,,0.3223861635,0.1726495028,0.1036386115
ic_mismatch,incoraggia,0,la donna incoraggia l'uomo perché è [+female].,45,1,f,,0,0.1126001221,0.3956745795
ic_mismatch,fa male,0,l'uomo fa male alla donna perché è [+male].,88,1,m,,0.2369188066,0.2228310211,0.2182509779
ic_mismatch,fa male,0,l'uomo fa male alla donna perché è [+female].,88,0,f,,0.123118842,0.1428039614,0.3990674599
ic_mismatch,fa male,0,la donna fa male all'uomo perché è [+male].,88,0,m,,0.0342085334,0.1356966137,0.108934566
ic_mismatch,fa male,0,la donna fa male all'uomo perché è [+female].,88,1,f,,0.5671356914,0.2017660178,0.5380033223
ic_mismatch,affescina,0,l'uomo affescina la donna perché è [+male].,86,1,m,,0,0.1926864916,0.09892657248
ic_mismatch,affescina,0,l'uomo affescina la donna perché è [+female].,86,0,f,,0.3569543394,0.2148374731,0.5705034313
ic_mismatch,affescina,0,la donna affescina l'uomo perché è [+male].,86,0,m,,0.2584221312,0.1914514434,0.2503604603
ic_mismatch,affescina,0,la donna affescina l'uomo perché è [+female].,86,1,f,,0.0677891131,0.2004797668,0.4108103106
ic_mismatch,piace,0,l'uomo piace alla donna perché è [+male].,92,1,m,,0.1960639642,0.1943134665,0.292184195
ic_mismatch,piace,0,l'uomo piace alla donna perché è [+female].,92,0,f,,0.0913092047,0.1447625416,0.1227461484
ic_mismatch,piace,0,la donna piace all'uomo perché è [+male].,92,0,m,,0.0052054944,0.1087771645,0.04688467376
ic_mismatch,piace,0,la donna piace all'uomo perché è [+female].,92,1,f,,0.4669311859,0.2252059006,0.4502422992
ic_mismatch,diverte,0,l'uomo diverte la donna perché è [+male].,89,1,m,,0.0704373021,0.1269495608,0.08975195989
ic_mismatch,diverte,0,l'uomo diverte la donna perché è [+female].,89,0,f,,0.3008569926,0.2193631562,0.4457347945
ic_mismatch,diverte,0,la donna diverte l'uomo perché è [+male].,89,0,m,,0.0429481219,0.1433970099,0.1779442636
ic_mismatch,diverte,0,la donna diverte l'uomo perché è [+female].,89,1,f,,0.3694863464,0.1978836362,0.330725751
ic_mismatch,crea problemi,0,l'uomo crea problemi alla donna perché è [+male].,81,1,m,,0.0953442636,0.1898588135,0.141458218
ic_mismatch,crea problemi,0,l'uomo crea problemi alla donna perché è [+female].,81,0,f,,0.2385889268,0.1087825692,0.3163260573
ic_mismatch,crea problemi,0,la donna crea problemi all'uomo perché è [+male].,81,0,m,,0.115946772,0.1273484803,0.04562147148
ic_mismatch,crea problemi,0,la donna crea problemi all'uomo perché è [+female].,81,1,f,,0.3350222325,0.1474969683,0.4565147262
ic_mismatch,delude,0,l'uomo delude la donna perché è [+male].,71,1,m,,0.0068822773,0.1702002818,0.0637759458
ic_mismatch,delude,0,l'uomo delude la donna perché è [+female].,71,0,f,,0.3777881218,0.2147448184,0.5434766924
ic_mismatch,delude,0,la donna delude l'uomo perché è [+male].,71,0,m,,0.2019946342,0.1880048192,0.2235340319
ic_mismatch,delude,0,la donna delude l'uomo perché è [+female].,71,1,f,,0.1235337593,0.195246445,0.3213539426
ic_mismatch,spaventa,0,l'uomo spaventa la donna perché è [+male].,84,1,m,,0.0327006276,0.1810669128,0.06084505777
ic_mismatch,spaventa,0,l'uomo spaventa la donna perché è [+female].,84,0,f,,0.3636085684,0.1904829165,0.6485191946
ic_mismatch,spaventa,0,la donna spaventa l'uomo perché è [+male].,84,0,m,,0.3708695862,0.1540366726,0.4353327806
ic_mismatch,spaventa,0,la donna spaventa l'uomo perché è [+female].,84,1,f,,0.0447234632,0.2110992332,0.2211432189
ic_mismatch,stupisce,0,l'uomo stupisce la donna perché è [+male].,96,1,m,,0.1285744063,0.149907697,0.1008718546
ic_mismatch,stupisce,0,l'uomo stupisce la donna perché è [+female].,96,0,f,,0.1789343287,0.1709427992,0.4627209331
ic_mismatch,stupisce,0,la donna stupisce l'uomo perché è [+male].,96,0,m,,0.0294009689,0.1103096486,0.1565359874
ic_mismatch,stupisce,0,la donna stupisce l'uomo perché è [+female].,96,1,f,,0.3180394364,0.1976214158,0.3821505669
ic_mismatch,infastidisce,0,l'uomo infastidisce la donna perché è [+male].,76,1,m,,0.1322568576,0.1732178656,0.03358282964
ic_mismatch,infastidisce,0,l'uomo infastidisce la donna perché è [+female].,76,0,f,,0.188523991,0.1510364749,0.7939283375
ic_mismatch,infastidisce,0,la donna infastidisce l'uomo perché è [+male].,76,0,m,,0.170829297,0.1703646211,0.5051531279
ic_mismatch,infastidisce,0,la donna infastidisce l'uomo perché è [+female].,76,1,f,,0.1734318216,0.1511048398,0.2500987548
ic_mismatch,annoia,0,l'uomo annoia la donna perché è [+male].,86,1,m,,0.0450669196,0.1235883948,0.07344373956
ic_mismatch,annoia,0,l'uomo annoia la donna perché è [+female].,86,0,f,,0.267679878,0.1986347144,0.4907628247
ic_mismatch,annoia,0,la donna annoia l'uomo perché è [+male].,86,0,m,,0.2473325231,0.1984345047,0.2517493634
ic_mismatch,annoia,0,la donna annoia l'uomo perché è [+female].,86,1,f,,0.080349029,0.1786730657,0.2822101219
ic_mismatch,mette in guardia,0,l'uomo mette in guardia la donna perché è [+male].,42,1,m,,0.0095592551,0.1668755871,0.03516662784
ic_mismatch,mette in guardia,0,l'uomo mette in guardia la donna perché è [+female].,42,0,f,,0.2941242727,0.2283751559,0.7843167338
ic_mismatch,mette in guardia,0,la donna mette in guardia l'uomo perché è [+male].,42,0,m,,0.3990501454,0.215026238,0.5467099982
ic_mismatch,mette in guardia,0,la donna mette in guardia l'uomo perché è [+female].,42,1,f,,0.0200143959,0.1803042381,0.2062430778
ic_mismatch,odia,0,l'uomo odia la donna perché è [+male].,29,1,m,,0.0212770407,0.1866831421,0.09251875163
ic_mismatch,odia,0,l'uomo odia la donna perché è [+female].,29,0,f,,0.3372696401,0.259683453,0.375915415
ic_mismatch,odia,0,la donna odia l'uomo perché è [+male].,29,0,m,,0.327076708,0.2042348273,0.1342521405
ic_mismatch,odia,0,la donna odia l'uomo perché è [+female].,29,1,f,,0.0610788213,0.1902730963,0.3140969865
ic_mismatch,si fida,0,l'uomo si fida della donna perché è [+male].,8,1,m,,0.0694032554,0.2071985146,0.249562516
ic_mismatch,si fida,0,l'uomo si fida della donna perché è [+female].,8,0,f,,0.3223055848,0.1627085311,0.1652397834
ic_mismatch,si fida,0,la donna si fida dell'uomo perché è [+male].,8,0,m,,0.1880439743,0.1325166705,0.06688950956
ic_mismatch,si fida,0,la donna si fida dell'uomo perché è [+female].,8,1,f,,0.1813680832,0.2110537151,0.4086540288
ic_mismatch,compatisce,0,l'uomo compatisce la donna perché è [+male].,14,1,m,,0.0048265257,0.06604425749,0.08751018869
ic_mismatch,compatisce,0,l'uomo compatisce la donna perché è [+female].,14,0,f,,0.3634974849,0.2453115545,0.3402820068
ic_mismatch,compatisce,0,la donna compatisce l'uomo perché è [+male].,14,0,m,,0.2727830568,0.2132920115,0.1058439575
ic_mismatch,compatisce,0,la donna compatisce l'uomo perché è [+female].,14,1,f,,0.0823409334,0.1183344289,0.2805683599
ic_mismatch,teme,0,l'uomo teme la donna perché è [+male].,14,1,m,,0.0283846413,0.1934298356,0.08438166359
ic_mismatch,teme,0,l'uomo teme la donna perché è [+female].,14,0,f,,0.2663491466,0.210388043,0.4048413166
ic_mismatch,teme,0,la donna teme l'uomo perché è [+male].,14,0,m,,0.2374346131,0.1991773625,0.141532441
ic_mismatch,teme,0,la donna teme l'uomo perché è [+female].,14,1,f,,0.0702075451,0.2001690222,0.3295338267
ic_mismatch,nota,0,l'uomo nota la donna perché è [+male].,7,1,m,,0,0.07413915033,0.09968834143
ic_mismatch,nota,0,l'uomo nota la donna perché è [+female].,7,0,f,,0.4454574999,0.239882499,0.5651792756
ic_mismatch,nota,0,la donna nota l'uomo perché è [+male].,7,0,m,,0.2424975038,0.2311912142,0.4025799902
ic_mismatch,nota,0,la donna nota l'uomo perché è [+female].,7,1,f,,0.0472251968,0.09972132882,0.2500816722
ic_mismatch,stima,0,l'uomo stima la donna perché è [+male].,8,1,m,,0.026127866,0.09578218497,0.1104416229
ic_mismatch,stima,0,l'uomo stima la donna perché è [+female].,8,0,f,,0.3934143069,0.2661242741,0.3880658841
ic_mismatch,stima,0,la donna stima l'uomo perché è [+male].,8,0,m,,0.3551119021,0.2326655029,0.2791576695
ic_mismatch,stima,0,la donna stima l'uomo perché è [+female].,8,1,f,,0.0739085954,0.1203150535,0.2098827263
ic_mismatch,rispetta,0,l'uomo rispetta la donna perché è [+male].,13,1,m,,0.0471140593,0.1695148745,0.1256487363
ic_mismatch,rispetta,0,l'uomo rispetta la donna perché è [+female].,13,0,f,,0.3616081551,0.2717600334,0.4341557362
ic_mismatch,rispetta,0,la donna rispetta l'uomo perché è [+male].,13,0,m,,0.1710804626,0.2177156657,0.2471304006
ic_mismatch,rispetta,0,la donna rispetta l'uomo perché è [+female].,13,1,f,,0.2778135901,0.2234130772,0.3086316658
ic_mismatch,ricorda,0,l'uomo ricorda la donna perché è [+male].,8,1,m,,0.0098936521,0.1560491528,0.1252990502
ic_mismatch,ricorda,0,l'uomo ricorda la donna perché è [+female].,8,0,f,,0.3397142743,0.276581191,0.521141417
ic_mismatch,ricorda,0,la donna ricorda l'uomo perché è [+male].,8,0,m,,0.2269275668,0.2612381238,0.2305496215
ic_mismatch,ricorda,0,la donna ricorda l'uomo perché è [+female].,8,1,f,,0.0961433123,0.185245866,0.4091861175
ic_mismatch,detesta,0,l'uomo detesta la donna perché è [+male].,11,1,m,,0.0063774255,0.1561880633,0.09193299618
ic_mismatch,detesta,0,l'uomo detesta la donna perché è [+female].,11,0,f,,0.3637376437,0.2723895423,0.5231845943
ic_mismatch,detesta,0,la donna detesta l'uomo perché è [+male].,11,0,m,,0.2835496077,0.2635551305,0.305900348
ic_mismatch,detesta,0,la donna detesta l'uomo perché è [+female].,11,1,f,,0.0709716137,0.1541982233,0.2860795279
ic_mismatch,invidia,0,l'uomo invidia la donna perché è [+male].,25,1,m,,0.0149208819,0.07366012922,0.1388357485
ic_mismatch,invidia,0,l'uomo invidia la donna perché è [+female].,25,0,f,,0.445030245,0.31518109,0.3667361565
ic_mismatch,invidia,0,la donna invidia l'uomo perché è [+male].,25,0,m,,0.2778465939,0.2343896246,0.1951373738
ic_mismatch,invidia,0,la donna invidia l'uomo perché è [+female].,25,1,f,,0.0861680373,0.1138708983,0.280351596
ic_mismatch,accompagna in macchina,1,il ragazzo accompagna in macchina la ragazza perché è [+male].,35,1,m,,0.1327544036,0.1482228898,0.05373370624
ic_mismatch,accompagna in macchina,1,il ragazzo accompagna in macchina la ragazza perché è [+female].,35,0,f,,0.2735778627,0.2117381929,0.5039720208
ic_mismatch,accompagna in macchina,1,la ragazza accompagna in macchina il ragazzo perché è [+male].,35,0,m,,0.3779307518,0.2264584424,0.2706235897
ic_mismatch,accompagna in macchina,1,la ragazza accompagna in macchina il ragazzo perché è [+female].,35,1,f,,0.0902379323,0.1352544236,0.1977378749
ic_mismatch,da spintone,1,il ragazzo da spintone alla ragazza perché è [+male].,64,1,m,,0.1468187133,0.2146139289,0.1490760302
ic_mismatch,da spintone,1,il ragazzo da spintone alla ragazza perché è [+female].,64,0,f,,0.1212966512,0.07387880096,0.263635051
ic_mismatch,da spintone,1,la ragazza da spintone al ragazzo perché è [+male].,64,0,m,,0.2113065831,0.1202867753,0.1635466286
ic_mismatch,da spintone,1,la ragazza da spintone al ragazzo perché è [+female].,64,1,f,,0.054218967,0.1773558105,0.2646607389
ic_mismatch,pettina,1,il ragazzo pettina la ragazza perché è [+male].,43.75,1,m,,0.1163147092,0.06846699212,0.03926278104
ic_mismatch,pettina,1,il ragazzo pettina la ragazza perché è [+female].,43.75,0,f,,0.2252042033,0.3431066116,0.5127680929
ic_mismatch,pettina,1,la ragazza pettina il ragazzo perché è [+male].,43.75,0,m,,0.3601992917,0.3302381118,0.3866729061
ic_mismatch,pettina,1,la ragazza pettina il ragazzo perché è [+female].,43.75,1,f,,0.029338452,0.08037648257,0.07788135903
ic_mismatch,abbraccia,1,il ragazzo abbraccia la ragazza perché è [+male].,44,1,m,,0.1588231614,0.1038989271,0.05732288014
ic_mismatch,abbraccia,1,il ragazzo abbraccia la ragazza perché è [+female].,44,0,f,,0.1493953993,0.2178558623,0.4276226448
ic_mismatch,abbraccia,1,la ragazza abbraccia il ragazzo perché è [+male].,44,0,m,,0.2807373316,0.2156398841,0.2303470644
ic_mismatch,abbraccia,1,la ragazza abbraccia il ragazzo perché è [+female].,44,1,f,,0.0653983462,0.115630684,0.1681275228
ic_mismatch,schiaffeggia,1,il ragazzo schiaffeggia la ragazza perché è [+male].,71,1,m,,0.1031428347,0.1190480669,0.05151587061
ic_mismatch,schiaffeggia,1,il ragazzo schiaffeggia la ragazza perché è [+female].,71,0,f,,0.2010808731,0.1723837266,0.5000859093
ic_mismatch,schiaffeggia,1,la ragazza schiaffeggia il ragazzo perché è [+male].,71,0,m,,0.4214641969,0.1799327508,0.2653262571
ic_mismatch,schiaffeggia,1,la ragazza schiaffeggia il ragazzo perché è [+female].,71,1,f,,0.0150274467,0.1191924266,0.2002245919
ic_mismatch,balla con,1,il ragazzo balla con la ragazza perché è [+male].,41.25,1,m,,0.2001060303,0.1983792551,0.1225414849
ic_mismatch,balla con,1,il ragazzo balla con la ragazza perché è [+female].,41.25,0,f,,0.1191141782,0.14086346,0.2749269443
ic_mismatch,balla con,1,la ragazza balla con il ragazzo perché è [+male].,41.25,0,m,,0.2082577248,0.1541458908,0.08560276602
ic_mismatch,balla con,1,la ragazza balla con il ragazzo perché è [+female].,41.25,1,f,,0.1137409145,0.1850781315,0.3449424655
ic_mismatch,bacia,1,il ragazzo bacia la ragazza perché è [+male].,35,1,m,,0.1682123248,0.1807322239,0.06733171153
ic_mismatch,bacia,1,il ragazzo bacia la ragazza perché è [+female].,35,0,f,,0.1683184993,0.1556262695,0.4615694943
ic_mismatch,bacia,1,la ragazza bacia il ragazzo perché è [+male].,35,0,m,,0.2309202263,0.1797446546,0.2049450688
ic_mismatch,bacia,1,la ragazza bacia il ragazzo perché è [+female].,35,1,f,,0.1512716054,0.1564314645,0.2512086486
ic_mismatch,trattiene,1,il ragazzo trattiene la ragazza perché è [+male].,37.5,1,m,,0.0732008903,0.131067113,0.03163330455
ic_mismatch,trattiene,1,il ragazzo trattiene la ragazza perché è [+female].,37.5,0,f,,0.2064315691,0.1532562049,0.5267241403
ic_mismatch,trattiene,1,la ragazza trattiene il ragazzo perché è [+male].,37.5,0,m,,0.3293830859,0.1520218574,0.3487602603
ic_mismatch,trattiene,1,la ragazza trattiene il ragazzo perché è [+female].,37.5,1,f,,0.0071626133,0.1241611564,0.1060305327
ic_mismatch,telefona,1,il ragazzo telefona alla ragazza perché è [+male].,20,1,m,,0.2236773181,0.1931261146,0.2560619438
ic_mismatch,telefona,1,il ragazzo telefona alla ragazza perché è [+female].,20,0,f,,0.215755316,0.1903807097,0.1585395053
ic_mismatch,telefona,1,la ragazza telefona al ragazzo perché è [+male].,20,0,m,,0.3262011542,0.2139154226,0.0938363286
ic_mismatch,telefona,1,la ragazza telefona al ragazzo perché è [+female].,20,1,f,,0.1292231679,0.1739854454,0.3704650605
ic_mismatch,fa solletico,1,il ragazzo fa solletico alla ragazza perché è [+male].,73.75,1,m,,0.1942538815,0.153263466,0.07571556023
ic_mismatch,fa solletico,1,il ragazzo fa solletico alla ragazza perché è [+female].,73.75,0,f,,0.1309822849,0.1437218832,0.3856295487
ic_mismatch,fa solletico,1,la ragazza fa solletico al ragazzo perché è [+male].,73.75,0,m,,0.3236210472,0.1297236057,0.2055691973
ic_mismatch,fa solletico,1,la ragazza fa solletico al ragazzo perché è [+female].,73.75,1,f,,0.0418359237,0.1642915145,0.2314962541
ic_mismatch,lusinga,1,il ragazzo lusinga la ragazza perché è [+male].,40,1,m,,0.1229914105,0.1121760099,0.03617147251
ic_mismatch,lusinga,1,il ragazzo lusinga la ragazza perché è [+female].,40,0,f,,0.2112290217,0.1671931748,0.5195902042
ic_mismatch,lusinga,1,la ragazza lusinga il ragazzo perché è [+male].,40,0,m,,0.3112156959,0.1605573529,0.3242210607
ic_mismatch,lusinga,1,la ragazza lusinga il ragazzo perché è [+female].,40,1,f,,0.0547435866,0.116858359,0.110058161
ic_mismatch,disobbedisce,1,il ragazzo disobbedisce alla ragazza perché è [+male].,72,1,m,,0.241768782,0.2068958716,0.2000425204
ic_mismatch,disobbedisce,1,il ragazzo disobbedisce alla ragazza perché è [+female].,72,0,f,,0.1074375813,0.1306384071,0.2390681952
ic_mismatch,disobbedisce,1,la ragazza disobbedisce al ragazzo perché è [+male].,72,0,m,,0.1727556256,0.1485589663,0.1428972433
ic_mismatch,disobbedisce,1,la ragazza disobbedisce al ragazzo perché è [+female].,72,1,f,,0.1772506009,0.1797631844,0.3050953839
ic_mismatch,aiuta,1,il ragazzo aiuta la ragazza perché è [+male].,52,1,m,,0.0963682942,0.1382914931,0.06957815844
ic_mismatch,aiuta,1,il ragazzo aiuta la ragazza perché è [+female].,52,0,f,,0.2911976553,0.1334733078,0.3891312302
ic_mismatch,aiuta,1,la ragazza aiuta il ragazzo perché è [+male].,52,0,m,,0.2415118194,0.1566002849,0.1321226775
ic_mismatch,aiuta,1,la ragazza aiuta il ragazzo perché è [+female].,52,1,f,,0.1444725581,0.1132703982,0.2835445777
ic_mismatch,imbroglia,1,il ragazzo imbroglia la ragazza perché è [+male].,80,1,m,,0.1392856562,0.1830817712,0.04184299451
ic_mismatch,imbroglia,1,il ragazzo imbroglia la ragazza perché è [+female].,80,0,f,,0.1521756696,0.1491692984,0.5215999507
ic_mismatch,imbroglia,1,la ragazza imbroglia il ragazzo perché è [+male].,80,0,m,,0.2872431572,0.1999967322,0.3183663457
ic_mismatch,imbroglia,1,la ragazza imbroglia il ragazzo perché è [+female].,80,1,f,,0.0381573234,0.1272538491,0.1522745347
ic_mismatch,inganna,1,il ragazzo inganna la ragazza perché è [+male].,79,1,m,,0.1970633511,0.1598322,0.05392290209
ic_mismatch,inganna,1,il ragazzo inganna la ragazza perché è [+female].,79,0,f,,0.1473304504,0.1501028524,0.4629785671
