exp,verb,item,sent,bias,isHigh ,gender,tf_because_surp,gpt_because_surp,LSTM_avg_because_surp,bert_because_score,tf_result_surp,gpt_result_surp,LSTM_avg_result_surp,bert_result_score,tf_period_surp,gpt_period_surp,LSTM_avg_period_surp,bert_period_score
ic_mismatch,admired,0,The woman admired the man because she,-92,1,f,4.117508411,2.543636322,3.020252228,0.01120896544,3.450379848,3.128863811,5.284080868,0.2929626703,11.03256226,3.209048986,4.660795183,0.06542436033
ic_mismatch,admonished,0,The man admonished the woman because he,-32,1,m,2.124187231,1.974265814,2.466237431,0.1009396166,5.015202522,4.852474689,4.652648249,0.1977252066,9.467520714,4.688596725,4.169601927,0.2419854999
ic_mismatch,admonished,0,The man admonished the woman because she,-32,0,f,2.737896919,1.06552875,3.340064402,0.8222929835,4.809987545,2.709018946,5.662819138,0.5809959769,11.59368896,5.019367218,5.110446644,0.3197790086
ic_mismatch,admonished,0,The woman admonished the man because he,-32,0,m,1.714957595,1.272909641,2.445121145,0.8056100011,4.250183105,2.976862431,4.555311556,0.6188867092,9.426457405,5.527869701,4.151798983,0.399661094
ic_mismatch,admonished,0,The woman admonished the man because she,-32,1,f,3.816962242,2.106882334,2.997997532,0.107077457,6.673632622,5.026399136,5.282065792,0.1659232825,11.27393627,4.827544212,4.78196106,0.1700567752
ic_mismatch,adored,0,The man adored the woman because he,-74,1,m,3.079010963,1.974654078,2.664720263,0.0160282366,3.040670156,3.244107485,4.585201492,0.2615030408,9.366693497,3.418571234,4.229415693,0.1370161772
ic_mismatch,adored,0,The man adored the woman because she,-74,0,f,3.54901886,1.410196066,3.308863058,0.9545667171,5.044576168,4.867737293,5.430174828,0.5690498352,11.38001537,5.321387291,4.996085072,0.597741127
ic_mismatch,adored,0,The woman adored the man because he,-74,0,m,2.965288162,1.368601799,2.592823067,0.9658475518,4.029311657,4.126686096,4.432042599,0.6002468467,9.449010849,4.748502731,4.190947905,0.6755065322
ic_mismatch,adored,0,The woman adored the man because she,-74,1,f,3.632053852,1.905848145,2.978007798,0.009732973762,3.651233196,3.391482353,5.045573149,0.2317021936,11.13144588,3.469749928,4.710095358,0.09008274227
ic_mismatch,advised,0,The man advised the woman because he,-28,1,m,2.210266113,1.609900355,2.549190722,0.2733558118,4.215686321,4.300654888,5.277639036,0.1330875754,9.449177742,4.100779533,4.16482089,0.2224144936
ic_mismatch,advised,0,The man advised the woman because she,-28,0,f,3.533914566,2.027512789,3.39660852,0.4735793769,3.930201769,2.632530451,6.274679794,0.7133532763,11.52803612,4.76642704,5.094702549,0.2144631892
ic_mismatch,advised,0,The woman advised the man because he,-28,0,m,2.166086197,2.463321209,2.576474023,0.474101454,3.830898523,3.1739645,5.161503782,0.661901474,9.464076042,4.908214092,4.183513546,0.3133467436
ic_mismatch,advised,0,The woman advised the man because she,-28,1,f,3.562164545,1.384289861,3.042577972,0.2734612226,3.623930454,4.577477932,5.807889881,0.16001755,11.2215519,4.395105839,4.747068882,0.1615708172
ic_mismatch,affected,0,The man affected the woman because he,29,1,m,2.526101112,1.373120427,2.882386723,0.5941290855,4.056818008,4.087765694,4.868363037,0.3510817289,9.230261803,4.289710045,4.399334583,0.4206807911
ic_mismatch,affected,0,The man affected the woman because she,29,0,f,3.207756519,3.222561359,3.451257534,0.2093372792,4.567230701,3.659309864,5.625386925,0.3057208359,11.44217491,5.619850636,5.095357265,0.1550870687
ic_mismatch,affected,0,The woman affected the man because he,29,0,m,2.278502464,3.316352606,2.808714161,0.1977673769,4.441915512,4.126653194,4.688652096,0.2579124272,9.420661926,5.540331364,4.335868616,0.1614051163
ic_mismatch,affected,0,The woman affected the man because she,29,1,f,3.452689648,1.281355977,3.176433887,0.6334105134,3.659511566,4.009117603,5.291550331,0.3995357156,11.21740913,4.575530529,4.836636333,0.3791214228
ic_mismatch,aggravated,0,The man aggravated the woman because he,59,1,m,2.88089633,1.489589214,2.737319508,0.3555244803,3.720294237,4.502987385,4.656622047,0.2909306884,9.386160851,3.678957224,4.350977755,0.369169116
ic_mismatch,aggravated,0,The man aggravated the woman because she,59,0,f,3.130825758,1.734612107,3.46482398,0.3802166879,3.847048283,3.319954395,5.556309395,0.3163026273,11.52899551,5.014431477,5.185740147,0.2062103003
ic_mismatch,aggravated,0,The woman aggravated the man because he,59,0,m,2.521038055,2.271685123,2.680242701,0.4696337283,3.889195681,3.989353657,4.506473293,0.3722347319,9.564121246,5.034557343,4.300461473,0.4198384881
ic_mismatch,aggravated,0,The woman aggravated the man because she,59,1,f,4.261821747,1.283354521,3.08170434,0.2841264009,3.56931901,4.517706394,5.137358761,0.2520819306,11.36354256,4.461434364,4.819378109,0.188365832
ic_mismatch,agitated,0,The man agitated the woman because he,85,1,m,2.652974367,1.274350882,2.521246099,0.3206788003,3.533153772,4.174225807,4.514502373,0.2820188701,9.262550354,3.167827606,4.199028826,0.3424623311
ic_mismatch,agitated,0,The man agitated the woman because she,85,0,f,3.037179232,2.121097088,3.353804932,0.4835502207,4.086246014,2.467240095,5.502810268,0.4664623439,11.38964653,3.594838381,5.123887768,0.2257512361
ic_mismatch,agitated,0,The woman agitated the man because he,85,0,m,2.303909302,2.296222448,2.500121117,0.6006605029,3.69244957,2.783501625,4.383215179,0.5361524224,9.355807304,3.905548573,4.181632538,0.4160293937
ic_mismatch,agitated,0,The woman agitated the man because she,85,1,f,3.452069521,1.118299723,2.876028266,0.2283701748,3.562953472,4.401737213,4.973275471,0.2187193036,11.15787125,3.723165751,4.667278967,0.1917711496
ic_mismatch,alarmed,0,The man alarmed the woman because he,58,1,m,2.43528676,1.262456656,2.587453203,0.4736312032,3.299377203,3.892821789,4.596384048,0.3832356632,9.305706978,2.893912077,4.234058161,0.3634655476
ic_mismatch,alarmed,0,The man alarmed the woman because she,58,0,f,3.802104473,2.363068581,3.44054101,0.235034883,3.809345484,1.998687267,5.604353962,0.3605078757,11.50207043,3.130634546,5.179405842,0.1838071197
ic_mismatch,alarmed,0,The woman alarmed the man because he,58,0,m,2.575056553,2.546423912,2.550900893,0.3424020708,3.248334646,2.501861811,4.474274588,0.5368911624,9.319669724,3.648539066,4.199928675,0.2678143084
ic_mismatch,alarmed,0,The woman alarmed the man because she,58,1,f,3.716221809,1.196666956,3.028171797,0.410356164,3.488312244,4.134681702,5.159230137,0.2373169959,11.16548252,3.416550875,4.796783104,0.306704402
ic_mismatch,alienated,0,The man alienated the woman because he,41,1,m,3.121850967,1.202067137,2.692871513,0.4932233095,3.409038067,4.010993004,4.602636147,0.3116841018,9.423763275,3.867778301,4.328758821,0.472063601
ic_mismatch,alienated,0,The man alienated the woman because she,41,0,f,3.822442293,2.879001141,3.42642642,0.3454785645,4.687525272,3.484642267,5.499523926,0.4080519974,11.57416248,5.101751328,5.127205429,0.1498101205
ic_mismatch,alienated,0,The woman alienated the man because he,41,0,m,3.202203751,3.056268215,2.645198541,0.3534426689,3.700175762,3.687321663,4.470146933,0.4017824531,9.470830917,5.175702572,4.305316753,0.117057994
ic_mismatch,alienated,0,The woman alienated the man because she,41,1,f,4.370497227,1.035576582,3.074073181,0.5065870285,3.488005638,3.969483376,5.110018511,0.3162948787,11.25944805,4.18405056,4.810914736,0.537293613
ic_mismatch,amazed,0,The man amazed the woman because he,68,1,m,2.349102974,1.927593589,2.523680401,0.5328789949,4.656408787,4.007673264,4.560743484,0.345903039,9.527881622,3.032794952,4.143559446,0.4034948647
ic_mismatch,amazed,0,The man amazed the woman because she,68,0,f,4.111541271,0.5880316496,3.40663187,0.2658520341,4.937135696,2.152761936,5.64087513,0.4230226576,11.64059734,4.078957081,5.131484509,0.2197436243
ic_mismatch,amazed,0,The woman amazed the man because he,68,0,m,2.7536726,1.472145677,2.548678226,0.1177861318,4.01773262,2.807359695,4.526120377,0.3993165791,9.484202385,4.318809032,4.160677309,0.1955771446
ic_mismatch,amazed,0,The woman amazed the man because she,68,1,f,3.38394928,1.260953784,2.963383827,0.7820575833,6.136356831,3.630952835,5.184192715,0.4085156322,11.35599232,3.526749134,4.719974089,0.4941322803
ic_mismatch,amused,0,The man amused the woman because he,67,1,m,1.985363841,1.194320321,2.557636571,0.5743145347,3.213451862,3.694136143,4.543533487,0.3814766109,9.517327309,3.212571859,4.210393944,0.4488770366
ic_mismatch,amused,0,The man amused the woman because she,67,0,f,3.830358028,2.580761909,3.33861052,0.2324659824,4.284964085,2.485019684,5.474168205,0.3493519127,11.62531185,4.031591892,5.072144299,0.1617732942
ic_mismatch,amused,0,The woman amused the man because he,67,0,m,2.215382099,2.512147427,2.535009937,0.2213757932,3.168459415,3.179439068,4.448883133,0.3568898141,9.42721653,4.326046944,4.216408777,0.2333520204
ic_mismatch,amused,0,The woman amused the man because she,67,1,f,3.247478962,1.2785393,2.955028095,0.6347209215,3.514793873,3.878910542,5.078051462,0.3867022097,11.27658749,3.777312517,4.739692936,0.3789931834
ic_mismatch,angered,0,The man angered the woman because he,85,1,m,2.423408985,1.048253655,2.490931897,0.4953011274,4.805600643,4.23227787,4.390728588,0.3502450287,9.368328094,3.365617275,4.177524567,0.3762678802
ic_mismatch,angered,0,The man angered the woman because she,85,0,f,3.172057629,1.727696538,3.412288523,0.3672420681,3.718869686,2.636483908,5.477245712,0.4108187854,11.49705219,3.92017746,5.177699299,0.1841963232
ic_mismatch,angered,0,The woman angered the man because he,85,0,m,2.577605486,2.168363094,2.47755372,0.2286521196,4.000322819,2.906689167,4.375113335,0.4731784463,9.382414818,4.315780163,4.187503338,0.2275220007
ic_mismatch,angered,0,The woman angered the man because she,85,1,f,3.630914927,1.267044544,3.017139893,0.6884871125,4.70186615,4.001235008,5.121628847,0.2917754352,11.20923519,3.942242146,4.825552731,0.3528287709
ic_mismatch,annoyed,0,The man annoyed the woman because he,79,1,m,2.335804462,1.191723228,2.537804384,0.3997291923,3.322892904,3.71580863,4.544609289,0.3314732611,9.420244217,3.483623505,4.238778725,0.4032322764
ic_mismatch,annoyed,0,The man annoyed the woman because she,79,0,f,3.366765976,2.087968826,3.400064192,0.4068166316,4.133647919,2.137300968,5.58528347,0.3940124512,11.53461266,3.598573923,5.177879658,0.2018152475
ic_mismatch,annoyed,0,The woman annoyed the man because he,79,0,m,2.492098093,2.150174618,2.531102986,0.4081003964,3.766029358,2.684210777,4.4857516,0.4384578168,9.410069466,4.198375225,4.228803034,0.2631170452
ic_mismatch,annoyed,0,The woman annoyed the man because she,79,1,f,3.488294601,1.171549082,3.021358395,0.4309486747,3.053668976,3.832270861,5.200510902,0.2873582244,11.20270061,3.685408592,4.821379728,0.3583128154
ic_mismatch,answered,0,The man answered the woman because he,-64,1,m,2.373591423,0.9553099871,2.484247665,0.3258146644,5.344425678,4.180709362,4.644399061,0.3013766408,9.33801651,4.887928009,4.138302212,0.2712097168
ic_mismatch,answered,0,The man answered the woman because she,-64,0,f,2.89127326,2.0181036,3.487053776,0.3558174074,6.123106003,3.361627579,5.75864502,0.333801657,11.45613289,6.997409344,5.213004398,0.1804779619
ic_mismatch,answered,0,The woman answered the man because he,-64,0,m,2.139246702,2.907474041,2.543590827,0.4896003008,5.046561718,3.247997522,4.61351841,0.4431341887,9.385632515,6.277815342,4.163111544,0.2807665169
ic_mismatch,answered,0,The woman answered the man because she,-64,1,f,3.668493032,0.6597665548,3.018593168,0.2123345286,6.129655838,4.029444218,5.237730455,0.2331935018,11.24703884,5.291688919,4.729170456,0.2101520896
ic_mismatch,apologized to,0,The man apologized to the woman because he,93,1,m,2.119718552,1.180680633,2.339921393,0.1798308194,3.827120304,4.461884499,4.308781662,0.2739194036,9.817373276,3.148469925,4.005658836,0.1953441352
ic_mismatch,apologized to,0,The man apologized to the woman because she,93,0,f,2.854673386,2.476942778,3.293485985,0.7369197011,4.300080776,2.576716661,5.433959389,0.4564385712,11.82462978,3.714605093,5.062377071,0.3075399399
ic_mismatch,apologized to,0,The woman apologized to the man because he,93,0,m,1.930988669,2.400784492,2.360080385,0.800286293,3.921226501,3.078179121,4.283795376,0.5843480825,9.864391327,3.96645093,4.033988237,0.421143949
ic_mismatch,apologized to,0,The woman apologized to the man because she,93,1,f,3.590494871,1.130133867,2.879778252,0.1174094751,3.811582804,4.64192915,5.001406498,0.1582703143,11.67440891,3.606745958,4.666847591,0.1187648699
ic_mismatch,appalled,0,The man appalled the woman because he,78,1,m,2.422884703,1.488756299,2.546486692,0.3213456273,4.28880024,3.729570389,4.617074862,0.2744479775,9.338603973,3.359322548,4.244835176,0.3358437419
ic_mismatch,appalled,0,The man appalled the woman because she,78,0,f,3.053677082,2.315507174,3.461278028,0.4441904724,4.804866314,2.220342636,5.694895363,0.4108463824,11.48313808,3.867762566,5.226821308,0.2493511438
ic_mismatch,appalled,0,The woman appalled the man because he,78,0,m,2.237114429,2.32902813,2.533879929,0.5333217978,3.969450712,2.929872513,4.500651445,0.450853914,9.33521843,4.263989449,4.216286163,0.3818204105
ic_mismatch,appalled,0,The woman appalled the man because she,78,1,f,3.503186226,1.451871157,2.991187449,0.2559691966,5.157875538,3.807442188,5.184624195,0.266495645,11.20518398,3.778967857,4.790696898,0.2177959383
ic_mismatch,applauded,0,The man applauded the woman because he,-84,1,m,2.766133785,1.757918596,2.630286398,0.03257969394,4.733772755,3.607743979,4.671508465,0.1779986471,9.218399048,3.870793819,4.070093718,0.1483548433
ic_mismatch,applauded,0,The man applauded the woman because she,-84,0,f,3.35992527,1.277774692,3.384058876,0.9102998376,5.734735012,3.380963564,5.620429611,0.5800792575,11.35352325,4.87958622,5.015728798,0.4501701891
ic_mismatch,applauded,0,The woman applauded the man because he,-84,0,m,2.57684207,1.520937085,2.627260981,0.9256424904,4.542405605,3.41338706,4.60709424,0.6306318641,9.343976974,4.608129501,4.044367342,0.532571733
ic_mismatch,applauded,0,The woman applauded the man because she,-84,1,f,4.355995655,1.675168276,3.04828166,0.01975374296,6.577563286,3.58953166,5.271470661,0.1238959432,11.16203022,4.041683197,4.696204319,0.0905803293
ic_mismatch,appreciated,0,The man appreciated the woman because he,-87,1,m,3.007563114,1.630603313,2.674382448,0.01075725164,2.787392855,2.93131423,4.695838442,0.2125386298,9.033870697,2.689480543,4.039307108,0.06670004129
ic_mismatch,appreciated,0,The man appreciated the woman because she,-87,0,f,3.313099146,1.478155136,3.45338315,0.9583413601,3.936808109,3.714510918,5.687950172,0.6048204303,11.20792103,4.215818405,4.998455639,0.6885714531
ic_mismatch,appreciated,0,The woman appreciated the man because he,-87,0,m,2.733812332,1.072927117,2.681122065,0.9647975564,3.177835464,3.668359041,4.623100471,0.5815979838,9.138257027,4.048069477,4.016720028,0.6759653091
ic_mismatch,appreciated,0,The woman appreciated the man because she,-87,1,f,3.936686754,2.098030567,3.090475626,0.00889267493,2.907683849,2.990978479,5.297379656,0.238616094,10.8966589,3.133000851,4.657384243,0.07768891007
ic_mismatch,approached,0,The man approached the woman because he,39,1,m,2.427178383,1.119082689,2.580993547,0.1974883974,4.046061039,4.127605915,4.546700077,0.2323800325,9.368685722,2.487401485,4.182686176,0.1858730614
ic_mismatch,approached,0,The man approached the woman because she,39,0,f,2.859153271,1.870108962,3.333254652,0.5574728847,4.501246929,3.372420549,5.433771877,0.5569549203,11.53629494,3.328854799,4.991084099,0.3000510037
ic_mismatch,approached,0,The woman approached the man because he,39,0,m,2.175525904,2.160110474,2.54887711,0.693043232,3.774022341,3.695976019,4.429817486,0.7224758863,9.259911537,3.587724209,4.154672937,0.3963267207
ic_mismatch,approached,0,The woman approached the man because she,39,1,f,3.577326059,0.9087770581,3.051100101,0.09197635949,5.370374203,4.451492786,5.101738815,0.1093649268,11.03754902,2.81151557,4.7166152,0.116805777
ic_mismatch,astonished,0,The man astonished the woman because he,51,1,m,2.198171139,1.385756135,2.489010186,0.5294674039,4.704751015,3.854138851,4.50809268,0.3893117905,9.512723923,3.067503929,4.132914457,0.4716643393
ic_mismatch,astonished,0,The man astonished the woman because she,51,0,f,3.987451077,0.7958652973,3.374142585,0.2579551935,5.266580582,2.087208509,5.571779938,0.4043579698,11.62869644,3.83385849,5.114860077,0.1570177227
ic_mismatch,astonished,0,The woman astonished the man because he,51,0,m,2.650837898,1.689188838,2.50563292,0.2059536427,4.331291199,2.624164104,4.447297125,0.4696715474,9.479632378,4.192185879,4.139621716,0.1623993665
ic_mismatch,astonished,0,The woman astonished the man because she,51,1,f,3.283954144,0.826598227,2.922945251,0.6554700732,6.322238445,3.670736551,5.102380962,0.3516325653,11.3444109,3.613080263,4.692122278,0.532142818
ic_mismatch,astounded,0,The man astounded the woman because he,62,1,m,2.43502593,1.424302101,2.536148911,0.7083026171,3.529492617,3.97385788,4.557023973,0.4729223251,9.493934631,2.887972116,4.194812622,0.6596233249
ic_mismatch,astounded,0,The man astounded the woman because she,62,0,f,2.993189573,2.136343479,3.396567478,0.1262137443,3.718958378,2.381773233,5.584367886,0.3082187176,11.56685257,3.99525857,5.140038548,0.08342368901
ic_mismatch,astounded,0,The woman astounded the man because he,62,0,m,1.978703856,2.524464607,2.53321681,0.1068260968,3.282574415,2.947870731,4.472108326,0.3263855577,9.448719025,4.255452633,4.187052412,0.0645198971
ic_mismatch,astounded,0,The woman astounded the man because she,62,1,f,3.502827883,1.610634208,2.968408933,0.7905056477,3.617813826,3.592793226,5.125330315,0.4659184515,11.31196308,3.21310997,4.749013453,0.734579742
ic_mismatch,attracted,0,The man attracted the woman because he,87,1,m,2.502497673,1.429073215,2.741440229,0.3955809176,3.389638424,3.818477869,4.750285072,0.4208936393,9.440371513,4.292105198,4.294680986,0.4473105967
ic_mismatch,attracted,0,The man attracted the woman because she,87,0,f,3.626457691,2.798579454,3.488587713,0.4964180887,4.293716908,4.44941473,5.669661942,0.4580562711,11.52833939,5.918425083,5.072298794,0.2219648659
ic_mismatch,attracted,0,The woman attracted the man because he,87,0,m,2.841847181,2.740566254,2.722637987,0.496278584,4.08189249,4.378878593,4.634553471,0.5836952925,9.522745132,5.663377762,4.271317377,0.2756671309
ic_mismatch,attracted,0,The woman attracted the man because she,87,1,f,3.717468262,1.349112511,3.190175657,0.4073941708,3.140644073,3.779465199,5.286431732,0.3093036711,11.2973175,4.844803333,4.766564121,0.3817355037
ic_mismatch,avoided,0,The man avoided the woman because he,14,1,m,3.030006409,1.405182242,2.650373836,0.04291237146,3.201509476,3.873232365,4.461874619,0.2518176734,9.208537102,3.643550873,4.183302374,0.2347258478
ic_mismatch,avoided,0,The man avoided the woman because she,14,0,f,2.277042866,2.176546335,3.467792158,0.8988645077,4.973492146,3.214720249,5.497700005,0.4557568133,11.40971851,4.580508232,5.13962162,0.355720669
ic_mismatch,avoided,0,The woman avoided the man because he,14,0,m,2.639986992,2.186117649,2.654894552,0.9190234542,5.00310564,3.632173538,4.386422863,0.5458083749,9.364759445,4.836781025,4.180280333,0.5046771765
ic_mismatch,avoided,0,The woman avoided the man because she,14,1,f,3.796334982,1.48275125,3.041237326,0.02563264593,3.337947369,3.6737535,5.03801466,0.1779893041,11.12038708,3.86913228,4.736553602,0.1202895492
ic_mismatch,baffled,0,The man baffled the woman because he,56,1,m,2.698869467,1.279908895,2.619523005,0.3523774743,3.868850231,3.717270851,4.663741102,0.3286079168,9.514535904,3.244344473,4.209918528,0.3835287988
ic_mismatch,baffled,0,The man baffled the woman because she,56,0,f,3.205641747,2.477651119,3.44609745,0.3986776769,3.450489283,2.320888758,5.681315823,0.4127842486,11.63486576,3.872218609,5.154581699,0.2330047488
ic_mismatch,baffled,0,The woman baffled the man because he,56,0,m,2.493492603,2.425702572,2.620514617,0.4384129941,3.308802366,2.859808922,4.588102188,0.4417052865,9.520485878,4.080919266,4.210237951,0.3177419305
ic_mismatch,baffled,0,The woman baffled the man because she,56,1,f,3.407905102,1.249624729,3.008344803,0.3358519673,4.078125,3.632646561,5.223371964,0.3143929541,11.37781525,3.43223381,4.745975094,0.3100394607
ic_mismatch,banished,0,The man banished the woman because he,-56,1,m,2.215692043,1.53958869,2.709781532,0.1542131305,3.640553951,4.280521393,4.851083965,0.1820792407,9.335362434,4.213479519,4.484079151,0.2114227116
ic_mismatch,banished,0,The man banished the woman because she,-56,0,f,3.138633251,1.893007517,3.503046989,0.7199683189,5.442781448,3.287019014,5.791343136,0.5296052098,11.4410181,5.232905865,5.306969757,0.3959977925
ic_mismatch,banished,0,The woman banished the man because he,-56,0,m,2.113290548,2.123490334,2.709500241,0.7917662263,3.640572309,3.863461256,4.699077578,0.5618815422,9.344072342,5.236246586,4.489797277,0.4631746411
ic_mismatch,banished,0,The woman banished the man because she,-56,1,f,4.468217373,1.486633182,3.073582268,0.09548287839,3.990341187,4.213073254,5.258880844,0.1514077485,11.25622559,4.390167713,4.905698318,0.1620861292
ic_mismatch,battled,0,The man battled the woman because he,47,1,m,2.575389147,1.311048746,2.674665527,0.1026233062,4.475886345,3.506201029,4.566791639,0.2613972425,9.41024971,3.963450909,4.294271269,0.273301959
ic_mismatch,battled,0,The man battled the woman because she,47,0,f,3.080835342,2.294365644,3.435630789,0.7538678646,4.60214901,4.66754055,5.506089382,0.4355904162,11.48362255,4.939979553,5.121182461,0.3861655295
ic_mismatch,battled,0,The woman battled the man because he,47,0,m,2.706620693,2.366924286,2.646783504,0.8405170441,5.201306343,4.052937508,4.459958277,0.4635869563,9.472011566,4.730541706,4.257985382,0.533942163
ic_mismatch,battled,0,The woman battled the man because she,47,1,f,3.705543041,1.159644604,3.120057564,0.04516440257,3.608935595,3.526717424,5.145492697,0.2584197521,11.21616936,3.827204943,4.818320274,0.1454436332
ic_mismatch,believed,0,The man believed the woman because he,-54,1,m,3.153946877,1.641937017,2.987761774,0.1055064425,3.710454464,3.28672123,6.067755852,0.2739851773,9.083861351,3.441908836,4.221252985,0.1768677235
ic_mismatch,believed,0,The man believed the woman because she,-54,0,f,3.415254593,1.814658642,3.572369661,0.7970993519,4.528119087,3.284700155,6.918858929,0.4839473069,11.28418446,5.621935844,5.074855976,0.5352236629
ic_mismatch,believed,0,The woman believed the man because he,-54,0,m,2.41695857,1.424379349,2.9107654,0.8749293089,3.59327817,3.432512999,5.895399952,0.4772747159,9.055351257,5.126217365,4.1726124,0.6510102153
ic_mismatch,believed,0,The woman believed the man because she,-54,1,f,4.247295856,1.948953867,3.258135099,0.04823009297,3.916139126,3.351371527,6.561019039,0.3080068529,10.72106266,3.792618513,4.794890213,0.1011641324
ic_mismatch,betrayed,0,The man betrayed the woman because he,74,1,m,2.880121469,0.9054185748,2.59037653,0.4101527035,3.612968206,4.347896576,4.511653881,0.360548079,9.490911484,3.995855808,4.309070358,0.4846168458
ic_mismatch,betrayed,0,The man betrayed the woman because she,74,0,f,3.168054819,2.385972977,3.390827703,0.3481996357,4.811125755,3.645038128,5.482027807,0.2933987081,11.48054695,5.693282127,5.200563679,0.1505123526
ic_mismatch,betrayed,0,The woman betrayed the man because he,74,0,m,2.828159332,2.984566212,2.545091023,0.3691882789,4.718509674,4.016384602,4.381118536,0.3164504766,9.533683777,5.529507637,4.274926605,0.2018530667
ic_mismatch,betrayed,0,The woman betrayed the man because she,74,1,f,3.707996607,1.07288003,3.003958149,0.4267117977,3.195831537,3.496725798,5.066140919,0.3678592741,11.14591694,3.859689713,4.853838787,0.4193892181
ic_mismatch,bewildered,0,The man bewildered the woman because he,49,1,m,3.193482161,1.336225867,2.55276722,0.3977997303,3.401572943,3.711247921,4.7258881,0.3046860397,9.321606636,3.31924057,4.262101984,0.3690665662
