exp,item,sent,hasIC,num,isHIGH,model,lstm_surp
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_11,5.871643066
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_12,5.418358803
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_13,5.887785912
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_14,5.872004986
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_15,5.037868977
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_16,5.880161285
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_17,5.271972179
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_18,6.028994083
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_19,4.669992924
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_2,6.592943192
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_20,4.710758209
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_21,4.312718391
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_22,6.65787077
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_23,5.109277248
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_24,5.318517208
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_25,4.834476471
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_3,3.966920137
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_4,4.23084116
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_5,5.462164402
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_6,4.504664421
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_7,6.148914337
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_8,6.232674599
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_9,5.755218983
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_1,4.729838371
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_10,5.727737427
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_11,5.635404587
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_12,7.98603487
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_13,6.113870621
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_14,4.663809776
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_15,4.377593994
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_16,3.801040888
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_17,4.138259888
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_18,4.719510555
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_19,4.870665073
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_2,4.045342922
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_20,4.222153664
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_21,3.914480686
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_22,4.640114784
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_23,4.389533997
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_24,5.997678757
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_25,4.0946455
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_3,3.361909151
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_4,3.861568451
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_5,5.783270359
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_6,4.48884058
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_7,3.82642889
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_8,6.335508347
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,LSTM_9,3.261291981
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_1,3.260909796
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_10,3.883337736
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_11,2.977285862
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_12,5.910861969
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_13,3.289048433
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_14,2.739340067
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_15,4.296742439
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_16,2.560690165
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_17,2.851402044
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_18,3.045414448
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_19,5.125404835
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_2,2.642483711
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_20,2.751496553
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_21,2.5871768
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_22,2.833464146
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_23,3.041264534
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_24,3.569200277
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_25,3.356411457
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_3,3.252566814
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_4,2.91236186
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_5,3.170156956
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_6,3.195757866
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_7,2.912479877
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_8,4.173646927
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,LSTM_9,2.905263662
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_1,3.282100677
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_10,3.727643728
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_11,3.400565863
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_12,2.968224049
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_13,5.407057762
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_14,3.85747385
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_15,5.012731552
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_16,4.190743923
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_17,4.382603168
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_18,3.717052698
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_19,3.385517597
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_2,5.115022659
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_20,3.851608276
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_21,4.003118992
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_22,5.408351898
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_23,3.875990868
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_24,3.619940042
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_25,3.870359421
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_3,5.079709053
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_4,3.876951933
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_5,3.333171129
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_6,3.858668804
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_7,5.072484493
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_8,3.264758348
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,LSTM_9,4.662460804
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_1,5.291866779
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_10,4.92075634
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_11,5.385962009
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_12,4.894194126
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_13,8.653375626
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_14,6.080435753
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_15,5.516778946
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_16,7.087958813
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_17,5.56636858
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_18,6.090996265
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_19,4.329194069
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_2,7.610359669
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_20,6.339922905
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_21,5.700340748
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_22,6.813250065
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_23,5.518218994
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_24,6.716706753
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_25,4.682434559
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_3,4.332304001
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_4,4.632437229
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_5,5.487917423
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_6,4.782952785
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_7,6.868182182
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_8,5.4771595
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,LSTM_9,7.015152454
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_1,5.326223373
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_10,5.937457561
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_11,5.912639618
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_12,6.206719875
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_13,7.400187969
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_14,5.985584259
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_15,5.486736298
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_16,3.948837042
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_17,6.116085052
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_18,6.633187771
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_19,5.603584766
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_2,4.694930553
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_20,5.874312401
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_21,5.89484024
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_22,6.157857895
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_23,6.544679165
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_24,7.203408241
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_25,5.862767696
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_3,4.280342102
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_4,5.047509193
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_5,5.997091293
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_6,5.57344532
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_7,5.508470058
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_8,6.685094833
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,LSTM_9,4.563486576
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_1,2.670600653
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_10,3.703845501
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_11,2.769953966
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_12,3.788131237
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_13,3.22698164
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_14,3.414517403
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_15,3.556659937
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_16,2.75505209
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_17,2.991498947
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_18,2.789724827
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_19,5.733301163
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_2,2.747321844
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_20,2.808398485
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_21,3.372346163
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_22,3.204542398
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_23,2.988465786
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_24,3.023737669
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_25,3.683991194
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_3,3.292046309
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_4,3.271375179
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_5,2.902628183
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_6,4.081280231
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_7,3.268904209
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_8,3.408305407
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,LSTM_9,3.949578047
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_1,3.220791101
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_10,3.892414331
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_11,3.232864857
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_12,3.256398678
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_13,3.407376766
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_14,3.324839592
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_15,3.589985132
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_16,3.41038394
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_17,3.306144238
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_18,2.945846796
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_19,3.729239464
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_2,4.094890118
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_20,3.188145161
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_21,3.633206367
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_22,4.275653362
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_23,3.465455294
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_24,3.848657608
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_25,3.440807104
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_3,3.719721317
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_4,3.53017354
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_5,3.402318001
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_6,4.536341667
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_7,3.726379156
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_8,3.153012514
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,LSTM_9,3.995974302
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_1,7.16865778
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_10,4.327431202
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_11,5.182304859
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_12,6.061387062
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_13,6.211983204
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_14,5.954841614
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_15,4.632013798
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_16,4.974810123
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_17,4.871083736
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_18,6.242495537
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_19,5.027630329
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_2,7.099164009
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_20,5.223919392
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_21,4.670516491
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_22,6.849947453
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_23,5.058193207
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_24,6.654947758
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_25,5.209810257
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_3,4.0520401
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_4,4.684192181
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_5,6.406868458
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_6,4.896597385
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_7,6.061754227
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_8,4.878197193
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,LSTM_9,5.547962666
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_1,5.101547718
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_10,6.014285564
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_11,5.689755917
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_12,7.269452572
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_13,5.636030197
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_14,4.296791077
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_15,4.081659317
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_16,3.691582203
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_17,4.25468111
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_18,5.517757893
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_19,4.952550888
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_2,4.171274185
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,LSTM_20,4.753023148
