exp,verb,item,sent,bias,isHigh ,gender,score_bert,score_bert_base,score_bert_pro,score_roberta,score_roberta_base,score_roberta_pro
ic_mismatch,accused,0,The woman accused the man because he was there.,2,0,m,0.7978700399398804,0.9242588877677917,0.8495320081710815,0.6545833349227905,0.6731184124946594,0.5574421286582947
ic_mismatch,accused,0,The woman accused the man because she was there.,2,1,f,0.13073977828025818,0.050576597452163696,0.0663732960820198,0.31542447209358215,0.3064860701560974,0.34145107865333557
ic_mismatch,admired,0,The man admired the woman because he was there.,-92,1,m,0.010280966758728027,0.005957475863397121,0.002524647396057844,0.15764783322811127,0.1672944575548172,0.1506710797548294
ic_mismatch,admired,0,The man admired the woman because she was there.,-92,0,f,0.9629867076873779,0.9766333103179932,0.9604196548461914,0.7983617186546326,0.808659553527832,0.718755304813385
ic_mismatch,admired,0,The woman admired the man because he was there.,-92,0,m,0.9598743915557861,0.975252628326416,0.9453464150428772,0.71779465675354,0.7913166880607605,0.6093537211418152
ic_mismatch,admired,0,The woman admired the man because she was there.,-92,1,f,0.011208965443074703,0.007046622224152088,0.004824069328606129,0.23613899946212769,0.18676169216632843,0.2520771622657776
ic_mismatch,admonished,0,The man admonished the woman because he was there.,-32,1,m,0.10093961656093597,0.04035450518131256,0.022284088656306267,0.5233891010284424,0.5429720282554626,0.3309619128704071
ic_mismatch,admonished,0,The man admonished the woman because she was there.,-32,0,f,0.8222929835319519,0.9239286780357361,0.9021502733230591,0.2943774461746216,0.31851017475128174,0.16917476058006287
ic_mismatch,admonished,0,The woman admonished the man because he was there.,-32,0,m,0.8056100010871887,0.9122733473777771,0.8478813171386719,0.22244514524936676,0.3056960999965668,0.07916565239429474
ic_mismatch,admonished,0,The woman admonished the man because she was there.,-32,1,f,0.107077457010746,0.04760780930519104,0.04923677444458008,0.5326328277587891,0.4912845492362976,0.32820260524749756
ic_mismatch,adored,0,The man adored the woman because he was there.,-74,1,m,0.016028236597776413,0.009132808074355125,0.004498599097132683,0.05760275945067406,0.06988711655139923,0.08597183227539062
ic_mismatch,adored,0,The man adored the woman because she was there.,-74,0,f,0.9545667171478271,0.9741666913032532,0.9598714113235474,0.9267066717147827,0.9170002937316895,0.837738037109375
ic_mismatch,adored,0,The woman adored the man because he was there.,-74,0,m,0.9658475518226624,0.9833365082740784,0.96317058801651,0.90230393409729,0.9168215990066528,0.8148238062858582
ic_mismatch,adored,0,The woman adored the man because she was there.,-74,1,f,0.009732973761856556,0.0042493040673434734,0.0026854455936700106,0.08114248514175415,0.0716710314154625,0.10877659171819687
ic_mismatch,advised,0,The man advised the woman because he was there.,-28,1,m,0.2733558118343353,0.2567237317562103,0.16247595846652985,0.6854527592658997,0.7499128580093384,0.37577638030052185
ic_mismatch,advised,0,The man advised the woman because she was there.,-28,0,f,0.47357937693595886,0.5734137296676636,0.42302775382995605,0.1213245540857315,0.12669825553894043,0.07709845900535583
ic_mismatch,advised,0,The woman advised the man because he was there.,-28,0,m,0.4741014540195465,0.6133573651313782,0.3799295127391815,0.0702516958117485,0.11852601915597916,0.05707355588674545
ic_mismatch,advised,0,The woman advised the man because she was there.,-28,1,f,0.2734612226486206,0.2259475737810135,0.21833199262619019,0.7355482578277588,0.7344356179237366,0.38139405846595764
ic_mismatch,affected,0,The man affected the woman because he was there.,29,1,m,0.5941290855407715,0.5069569945335388,0.4414573013782501,0.9147432446479797,0.922214925289154,0.6752620935440063
ic_mismatch,affected,0,The man affected the woman because she was there.,29,0,f,0.2093372792005539,0.3806326389312744,0.35643270611763,0.04306913912296295,0.047542162239551544,0.12252601236104965
ic_mismatch,affected,0,The woman affected the man because he was there.,29,0,m,0.19776737689971924,0.35914406180381775,0.22953283786773682,0.021735960617661476,0.016169780865311623,0.042744819074869156
ic_mismatch,affected,0,The woman affected the man because she was there.,29,1,f,0.6334105134010315,0.5368338823318481,0.5849214792251587,0.9549856185913086,0.965861439704895,0.7858763933181763
ic_mismatch,aggravated,0,The man aggravated the woman because he was there.,59,1,m,0.355524480342865,0.35246115922927856,0.2670387923717499,0.581620991230011,0.6367108821868896,0.3882422149181366
ic_mismatch,aggravated,0,The man aggravated the woman because she was there.,59,0,f,0.38021668791770935,0.46966350078582764,0.4223558008670807,0.33413130044937134,0.2902037799358368,0.2703874409198761
ic_mismatch,aggravated,0,The woman aggravated the man because he was there.,59,0,m,0.46963372826576233,0.6279773712158203,0.44502171874046326,0.1966000348329544,0.17874695360660553,0.17386674880981445
ic_mismatch,aggravated,0,The woman aggravated the man because she was there.,59,1,f,0.2841264009475708,0.2090306431055069,0.22043685615062714,0.7330873608589172,0.7435540556907654,0.4286319315433502
ic_mismatch,agitated,0,The man agitated the woman because he was there.,85,1,m,0.32067880034446716,0.26001599431037903,0.15363651514053345,0.6520719528198242,0.6871188879013062,0.3194767236709595
ic_mismatch,agitated,0,The man agitated the woman because she was there.,85,0,f,0.48355022072792053,0.6369253993034363,0.6488603949546814,0.18446111679077148,0.15870293974876404,0.11093507707118988
ic_mismatch,agitated,0,The woman agitated the man because he was there.,85,0,m,0.600660502910614,0.7935850024223328,0.6707660555839539,0.17697285115718842,0.1805228739976883,0.11162731796503067
ic_mismatch,agitated,0,The woman agitated the man because she was there.,85,1,f,0.22837017476558685,0.12656255066394806,0.12422866374254227,0.6602950692176819,0.6452921628952026,0.2920551300048828
ic_mismatch,alarmed,0,The man alarmed the woman because he was there.,58,1,m,0.47363120317459106,0.439477801322937,0.350991427898407,0.8125221729278564,0.7953417897224426,0.37834903597831726
ic_mismatch,alarmed,0,The man alarmed the woman because she was there.,58,0,f,0.23503488302230835,0.39637982845306396,0.307683527469635,0.10163024067878723,0.09866253286600113,0.09953363984823227
ic_mismatch,alarmed,0,The woman alarmed the man because he was there.,58,0,m,0.34240207076072693,0.5047458410263062,0.3240865468978882,0.06232665479183197,0.08008415997028351,0.0753089040517807
ic_mismatch,alarmed,0,The woman alarmed the man because she was there.,58,1,f,0.41035616397857666,0.3469153642654419,0.36258190870285034,0.8628300428390503,0.8006282448768616,0.37697210907936096
ic_mismatch,alienated,0,The man alienated the woman because he was there.,41,1,m,0.49322330951690674,0.3669971525669098,0.2752336263656616,0.6580878496170044,0.7850930094718933,0.4433061480522156
ic_mismatch,alienated,0,The man alienated the woman because she was there.,41,0,f,0.3454785645008087,0.5286155343055725,0.49730926752090454,0.1846858114004135,0.11460249871015549,0.11639359593391418
ic_mismatch,alienated,0,The woman alienated the man because he was there.,41,0,m,0.3534426689147949,0.5410919785499573,0.4074082374572754,0.1953539252281189,0.1414002627134323,0.11452629417181015
ic_mismatch,alienated,0,The woman alienated the man because she was there.,41,1,f,0.506587028503418,0.3644980192184448,0.37240198254585266,0.6683911085128784,0.7421445250511169,0.41385406255722046
ic_mismatch,amazed,0,The man amazed the woman because he was there.,68,1,m,0.5328789949417114,0.386574923992157,0.38941776752471924,0.842452347278595,0.8423396348953247,0.4019227623939514
ic_mismatch,amazed,0,The man amazed the woman because she was there.,68,0,f,0.26585203409194946,0.48672860860824585,0.35182374715805054,0.09079987555742264,0.09339205175638199,0.10625119507312775
ic_mismatch,amazed,0,The woman amazed the man because he was there.,68,0,m,0.11778613179922104,0.24038928747177124,0.07717491686344147,0.033830154687166214,0.03496946021914482,0.05565821751952171
ic_mismatch,amazed,0,The woman amazed the man because she was there.,68,1,f,0.7820575833320618,0.6905443668365479,0.7930282950401306,0.9251295924186707,0.9241716265678406,0.532538115978241
ic_mismatch,amused,0,The man amused the woman because he was there.,67,1,m,0.574314534664154,0.4734846353530884,0.4038459360599518,0.791085422039032,0.8270953893661499,0.550936222076416
ic_mismatch,amused,0,The man amused the woman because she was there.,67,0,f,0.2324659824371338,0.38355767726898193,0.3331072926521301,0.16339580714702606,0.13147294521331787,0.16791744530200958
ic_mismatch,amused,0,The woman amused the man because he was there.,67,0,m,0.22137579321861267,0.37351417541503906,0.2162923961877823,0.05873578414320946,0.04900933429598808,0.10438647121191025
ic_mismatch,amused,0,The woman amused the man because she was there.,67,1,f,0.6347209215164185,0.5144864916801453,0.5821145176887512,0.9080590605735779,0.9230166673660278,0.6437423825263977
ic_mismatch,angered,0,The man angered the woman because he was there.,85,1,m,0.49530112743377686,0.34070900082588196,0.28958478569984436,0.7220401763916016,0.7512871623039246,0.4747479259967804
ic_mismatch,angered,0,The man angered the woman because she was there.,85,0,f,0.36724206805229187,0.5961551070213318,0.5472880005836487,0.2191334217786789,0.19106340408325195,0.20937283337116241
ic_mismatch,angered,0,The woman angered the man because he was there.,85,0,m,0.22865211963653564,0.4637972414493561,0.33881908655166626,0.1090501919388771,0.12584218382835388,0.15987195074558258
ic_mismatch,angered,0,The woman angered the man because she was there.,85,1,f,0.6884871125221252,0.4829480051994324,0.5133208632469177,0.8468578457832336,0.8263631463050842,0.5558122992515564
ic_mismatch,annoyed,0,The man annoyed the woman because he was there.,79,1,m,0.3997291922569275,0.24354317784309387,0.16921590268611908,0.6245484948158264,0.6628234386444092,0.3498654365539551
ic_mismatch,annoyed,0,The man annoyed the woman because she was there.,79,0,f,0.40681663155555725,0.6677542924880981,0.6348444819450378,0.27250853180885315,0.23208077251911163,0.20608210563659668
ic_mismatch,annoyed,0,The woman annoyed the man because he was there.,79,0,m,0.4081003963947296,0.6444113850593567,0.49668005108833313,0.25553491711616516,0.23108191788196564,0.20238278806209564
ic_mismatch,annoyed,0,The woman annoyed the man because she was there.,79,1,f,0.4309486746788025,0.273547500371933,0.29611825942993164,0.6360260248184204,0.6603862643241882,0.3377799391746521
ic_mismatch,answered,0,The man answered the woman because he was there.,-64,1,m,0.3258146643638611,0.30598390102386475,0.21113288402557373,0.6624376177787781,0.7170934677124023,0.3956368863582611
ic_mismatch,answered,0,The man answered the woman because she was there.,-64,0,f,0.35581740736961365,0.46631839871406555,0.34445008635520935,0.1930699199438095,0.21458321809768677,0.14944949746131897
ic_mismatch,answered,0,The woman answered the man because he was there.,-64,0,m,0.4896003007888794,0.627049446105957,0.38910263776779175,0.22504287958145142,0.2767629623413086,0.1559520661830902
ic_mismatch,answered,0,The woman answered the man because she was there.,-64,1,f,0.2123345285654068,0.16525855660438538,0.16246560215950012,0.6264517903327942,0.6449984312057495,0.39328503608703613
ic_mismatch,apologized to,0,The man apologized to the woman because he was there.,93,1,m,0.17983081936836243,0.10927305370569229,0.06377123296260834,0.5151252150535583,0.48361462354660034,0.3299841582775116
ic_mismatch,apologized to,0,The man apologized to the woman because she was there.,93,0,f,0.7369197010993958,0.8579177856445312,0.8701000809669495,0.40446987748146057,0.4671742916107178,0.3590138256549835
ic_mismatch,apologized to,0,The woman apologized to the man because he was there.,93,0,m,0.8002862930297852,0.9160038828849792,0.8546349406242371,0.3348137438297272,0.4851522147655487,0.3304680287837982
ic_mismatch,apologized to,0,The woman apologized to the man because she was there.,93,1,f,0.11740947514772415,0.05313568934798241,0.05929988995194435,0.582041323184967,0.4636167585849762,0.3304327428340912
ic_mismatch,appalled,0,The man appalled the woman because he was there.,78,1,m,0.32134562730789185,0.2913016974925995,0.20924454927444458,0.8015912175178528,0.7643548250198364,0.5641024112701416
ic_mismatch,appalled,0,The man appalled the woman because she was there.,78,0,f,0.44419047236442566,0.5662880539894104,0.5428290963172913,0.15559811890125275,0.20366734266281128,0.2530006766319275
ic_mismatch,appalled,0,The woman appalled the man because he was there.,78,0,m,0.5333217978477478,0.7273534536361694,0.5766714811325073,0.11378168314695358,0.13399305939674377,0.19810250401496887
ic_mismatch,appalled,0,The woman appalled the man because she was there.,78,1,f,0.25596919655799866,0.16257627308368683,0.18920405209064484,0.8460106253623962,0.8332797288894653,0.5843071341514587
ic_mismatch,applauded,0,The man applauded the woman because he was there.,-84,1,m,0.0325796939432621,0.013528930023312569,0.00795997679233551,0.22371137142181396,0.21825581789016724,0.17012156546115875
ic_mismatch,applauded,0,The man applauded the woman because she was there.,-84,0,f,0.9102998375892639,0.9512022733688354,0.9127769470214844,0.7295099496841431,0.7619242668151855,0.6432639360427856
ic_mismatch,applauded,0,The woman applauded the man because he was there.,-84,0,m,0.9256424903869629,0.9579125642776489,0.8942376971244812,0.6714937686920166,0.7267733812332153,0.5260894894599915
ic_mismatch,applauded,0,The woman applauded the man because she was there.,-84,1,f,0.019753742963075638,0.008169942535459995,0.007668229751288891,0.2760181725025177,0.2489621490240097,0.2599473297595978
ic_mismatch,appreciated,0,The man appreciated the woman because he was there.,-87,1,m,0.010757251642644405,0.006838381290435791,0.0032368472311645746,0.04260137677192688,0.05418962985277176,0.053904157131910324
ic_mismatch,appreciated,0,The man appreciated the woman because she was there.,-87,0,f,0.9583413600921631,0.9701700210571289,0.9483739137649536,0.9420468807220459,0.9357652068138123,0.8524168729782104
ic_mismatch,appreciated,0,The woman appreciated the man because he was there.,-87,0,m,0.9647975564002991,0.9774206280708313,0.94740229845047,0.9399374723434448,0.959447979927063,0.8522740602493286
ic_mismatch,appreciated,0,The woman appreciated the man because she was there.,-87,1,f,0.008892674930393696,0.00623856857419014,0.006062864791601896,0.044786304235458374,0.03221337869763374,0.05017435550689697
ic_mismatch,approached,0,The man approached the woman because he was there.,39,1,m,0.19748839735984802,0.10253547877073288,0.051805850118398666,0.38905924558639526,0.40023621916770935,0.268037348985672
ic_mismatch,approached,0,The man approached the woman because she was there.,39,0,f,0.5574728846549988,0.7803512811660767,0.6102268099784851,0.5117424130439758,0.49663540720939636,0.36952871084213257
ic_mismatch,approached,0,The woman approached the man because he was there.,39,0,m,0.6930432319641113,0.8532276153564453,0.5959007740020752,0.539726734161377,0.577345073223114,0.2851960062980652
ic_mismatch,approached,0,The woman approached the man because she was there.,39,1,f,0.0919763594865799,0.03958616778254509,0.04006648436188698,0.33410343527793884,0.2839969992637634,0.24577462673187256
ic_mismatch,astonished,0,The man astonished the woman because he was there.,51,1,m,0.5294674038887024,0.4190923273563385,0.3584756851196289,0.8928461074829102,0.8838719725608826,0.5127018690109253
ic_mismatch,astonished,0,The man astonished the woman because she was there.,51,0,f,0.2579551935195923,0.4513182044029236,0.3846975862979889,0.06235148012638092,0.06514401733875275,0.08359162509441376
ic_mismatch,astonished,0,The woman astonished the man because he was there.,51,0,m,0.20595364272594452,0.3970244228839874,0.2148585468530655,0.026537328958511353,0.029265886172652245,0.04663386568427086
ic_mismatch,astonished,0,The woman astonished the man because she was there.,51,1,f,0.655470073223114,0.5117642283439636,0.6052661538124084,0.9509099125862122,0.944441020488739,0.6819065809249878
ic_mismatch,astounded,0,The man astounded the woman because he was there.,62,1,m,0.7083026170730591,0.7079964280128479,0.6505829095840454,0.8159248232841492,0.8555710315704346,0.4391949772834778
ic_mismatch,astounded,0,The man astounded the woman because she was there.,62,0,f,0.12621374428272247,0.17001299560070038,0.10881734639406204,0.09868393838405609,0.06827744841575623,0.0865536630153656
ic_mismatch,astounded,0,The woman astounded the man because he was there.,62,0,m,0.10682609677314758,0.14835816621780396,0.093565434217453,0.03214297816157341,0.03705091401934624,0.052012182772159576
ic_mismatch,astounded,0,The woman astounded the man because she was there.,62,1,f,0.7905056476593018,0.7759354114532471,0.7622621655464172,0.9057139754295349,0.8937764167785645,0.5090182423591614
ic_mismatch,attracted,0,The man attracted the woman because he was there.,87,1,m,0.395580917596817,0.19414836168289185,0.11301178485155106,0.7612496018409729,0.737508237361908,0.4997849762439728
ic_mismatch,attracted,0,The man attracted the woman because she was there.,87,0,f,0.4964180886745453,0.7564378380775452,0.8044636845588684,0.21572153270244598,0.24292901158332825,0.37235772609710693
ic_mismatch,attracted,0,The woman attracted the man because he was there.,87,0,m,0.4962785840034485,0.7802557349205017,0.767527163028717,0.08354490250349045,0.11330906301736832,0.2616906464099884
ic_mismatch,attracted,0,The woman attracted the man because she was there.,87,1,f,0.4073941707611084,0.16993509232997894,0.12623785436153412,0.8989875912666321,0.8705775737762451,0.592088520526886
ic_mismatch,avoided,0,The man avoided the woman because he was there.,14,1,m,0.04291237145662308,0.019841905683279037,0.012483945116400719,0.17920225858688354,0.12105830013751984,0.10543842613697052
ic_mismatch,avoided,0,The man avoided the woman because she was there.,14,0,f,0.8988645076751709,0.9569788575172424,0.9254544377326965,0.5842992067337036,0.7203798294067383,0.3370093107223511
ic_mismatch,avoided,0,The woman avoided the man because he was there.,14,0,m,0.9190234541893005,0.9640070199966431,0.898361325263977,0.6927258968353271,0.8322448134422302,0.3636520504951477
ic_mismatch,avoided,0,The woman avoided the man because she was there.,14,1,f,0.025632645934820175,0.01205944549292326,0.013280344195663929,0.09024820476770401,0.043606214225292206,0.0628819689154625
ic_mismatch,baffled,0,The man baffled the woman because he was there.,56,1,m,0.3523774743080139,0.24778591096401215,0.16247263550758362,0.8135939240455627,0.7368854880332947,0.23468796908855438
ic_mismatch,baffled,0,The man baffled the woman because she was there.,56,0,f,0.39867767691612244,0.6173455119132996,0.5525810718536377,0.042473241686820984,0.07569029182195663,0.05451922491192818
ic_mismatch,baffled,0,The woman baffled the man because he was there.,56,0,m,0.43841299414634705,0.7092540860176086,0.4898301064968109,0.016614815220236778,0.024796346202492714,0.02382497675716877
ic_mismatch,baffled,0,The woman baffled the man because she was there.,56,1,f,0.3358519673347473,0.16828469932079315,0.21206782758235931,0.8728764653205872,0.8304634690284729,0.32730069756507874
ic_mismatch,banished,0,The man banished the woman because he was there.,-56,1,m,0.15421313047409058,0.10791199654340744,0.08246372640132904,0.1398642212152481,0.12493661791086197,0.11258728802204132
ic_mismatch,banished,0,The man banished the woman because she was there.,-56,0,f,0.719968318939209,0.8299754858016968,0.7609723806381226,0.7695144414901733,0.8227326273918152,0.6164701581001282
ic_mismatch,banished,0,The woman banished the man because he was there.,-56,0,m,0.7917662262916565,0.8860495090484619,0.7314915060997009,0.7631715536117554,0.8797247409820557,0.6096575260162354
ic_mismatch,banished,0,The woman banished the man because she was there.,-56,1,f,0.09548287838697433,0.05787777900695801,0.06808308511972427,0.13438929617404938,0.06660327315330505,0.08491798490285873
ic_mismatch,battled,0,The man battled the woman because he was there.,47,1,m,0.10262330621480942,0.04040398821234703,0.016632016748189926,0.37982502579689026,0.43888384103775024,0.24776069819927216
ic_mismatch,battled,0,The man battled the woman because she was there.,47,0,f,0.7538678646087646,0.8977238535881042,0.8723592162132263,0.43500831723213196,0.4090979993343353,0.29193177819252014
ic_mismatch,battled,0,The woman battled the man because he was there.,47,0,m,0.8405170440673828,0.9287073612213135,0.859212338924408,0.48590418696403503,0.5124936103820801,0.2793445587158203
ic_mismatch,battled,0,The woman battled the man because she was there.,47,1,f,0.045164402574300766,0.020981941372156143,0.01991891860961914,0.33070439100265503,0.3476963937282562,0.23624293506145477
ic_mismatch,believed,0,The man believed the woman because he was there.,-54,1,m,0.10550644248723984,0.0398443304002285,0.02938047982752323,0.21450886130332947,0.3031024634838104,0.28797978162765503
ic_mismatch,believed,0,The man believed the woman because she was there.,-54,0,f,0.7970993518829346,0.9073276519775391,0.8468052744865417,0.7537890672683716,0.6829516291618347,0.6196981072425842
ic_mismatch,believed,0,The woman believed the man because he was there.,-54,0,m,0.8749293088912964,0.9417665004730225,0.8624404668807983,0.6841296553611755,0.7233978509902954,0.5650923848152161
ic_mismatch,believed,0,The woman believed the man because she was there.,-54,1,f,0.048230092972517014,0.019513146951794624,0.02572389505803585,0.2783348858356476,0.2597324550151825,0.32372385263442993
ic_mismatch,betrayed,0,The man betrayed the woman because he was there.,74,1,m,0.41015270352363586,0.3385750651359558,0.2282310128211975,0.4575940668582916,0.523003876209259,0.31120359897613525
ic_mismatch,betrayed,0,The man betrayed the woman because she was there.,74,0,f,0.34819963574409485,0.48407426476478577,0.44104379415512085,0.3230821490287781,0.35354819893836975,0.23019109666347504
ic_mismatch,betrayed,0,The woman betrayed the man because he was there.,74,0,m,0.3691882789134979,0.5739224553108215,0.4088226854801178,0.44337955117225647,0.48113179206848145,0.23054161667823792
ic_mismatch,betrayed,0,The woman betrayed the man because she was there.,74,1,f,0.4267117977142334,0.2899347245693207,0.30017149448394775,0.2896539270877838,0.33847135305404663,0.16018906235694885
ic_mismatch,bewildered,0,The man bewildered the woman because he was there.,49,1,m,0.3977997303009033,0.28523096442222595,0.21295811235904694,0.6618678569793701,0.6918690204620361,0.22839218378067017
ic_mismatch,bewildered,0,The man bewildered the woman because she was there.,49,0,f,0.35892245173454285,0.5941538214683533,0.4995858669281006,0.12479016929864883,0.09004180878400803,0.0627596527338028
ic_mismatch,bewildered,0,The woman bewildered the man because he was there.,49,0,m,0.39477765560150146,0.6495867967605591,0.43817469477653503,0.0682385265827179,0.053304217755794525,0.04102890193462372
ic_mismatch,bewildered,0,The woman bewildered the man because she was there.,49,1,f,0.3987860381603241,0.23950669169425964,0.2874705195426941,0.7374577522277832,0.7582197189331055,0.2796553075313568
ic_mismatch,blamed,0,The man blamed the woman because he was there.,-30,1,m,0.11953754723072052,0.0550687350332737,0.02451368421316147,0.2842996418476105,0.2699400782585144,0.2498364895582199
ic_mismatch,blamed,0,The man blamed the woman because she was there.,-30,0,f,0.7482156157493591,0.8811468482017517,0.8254536986351013,0.6625134944915771,0.6935151219367981,0.5821494460105896
ic_mismatch,blamed,0,The woman blamed the man because he was there.,-30,0,m,0.7677468061447144,0.9023253917694092,0.7817295789718628,0.6447585821151733,0.703950047492981,0.5385727882385254
ic_mismatch,blamed,0,The woman blamed the man because she was there.,-30,1,f,0.09384655207395554,0.03365422785282135,0.031175699084997177,0.3004262149333954,0.2595854103565216,0.28201910853385925
ic_mismatch,blessed,0,The man blessed the woman because he was there.,-21,1,m,0.07524172961711884,0.032258618623018265,0.018268700689077377,0.3005448281764984,0.3919355869293213,0.2438179850578308
ic_mismatch,blessed,0,The man blessed the woman because she was there.,-21,0,f,0.8542181253433228,0.9243325591087341,0.8651393055915833,0.3633250892162323,0.5066308975219727,0.36837437748908997
ic_mismatch,blessed,0,The woman blessed the man because he was there.,-21,0,m,0.8755183219909668,0.9396446347236633,0.8434785008430481,0.27337828278541565,0.41455820202827454,0.20474109053611755
ic_mismatch,blessed,0,The woman blessed the man because she was there.,-21,1,f,0.05227008834481239,0.017864393070340157,0.013830644078552723,0.3925992250442505,0.4836241602897644,0.35684502124786377
ic_mismatch,bored,0,The man bored the woman because he was there.,73,1,m,0.36309391260147095,0.23172782361507416,0.14517419040203094,0.84281325340271,0.8384358882904053,0.429533988237381
ic_mismatch,bored,0,The man bored the woman because she was there.,73,0,f,0.44965991377830505,0.6780270338058472,0.6666806936264038,0.04490455612540245,0.03184175491333008,0.05403604730963707
ic_mismatch,bored,0,The woman bored the man because he was there.,73,0,m,0.4611376225948334,0.6376646757125854,0.5194987654685974,0.036392178386449814,0.026555953547358513,0.03864399716258049
ic_mismatch,bored,0,The woman bored the man because she was there.,73,1,f,0.38766372203826904,0.28884080052375793,0.3059193789958954,0.8420104384422302,0.8292897343635559,0.4376569390296936
ic_mismatch,bothered,0,The man bothered the woman because he was there.,59,1,m,0.43132850527763367,0.2806732952594757,0.22821635007858276,0.8102099895477295,0.8377166390419006,0.5265741348266602
ic_mismatch,bothered,0,The man bothered the woman because she was there.,59,0,f,0.36618772149086,0.6241581439971924,0.5631643533706665,0.13325855135917664,0.11718649417161942,0.18151013553142548
ic_mismatch,bothered,0,The woman bothered the man because he was there.,59,0,m,0.37451717257499695,0.628101646900177,0.465182900428772,0.06850001215934753,0.05446150526404381,0.13448582589626312
ic_mismatch,bothered,0,The woman bothered the man because she was there.,59,1,f,0.447984516620636,0.277752548456192,0.31629887223243713,0.8845091462135315,0.9061116576194763,0.5708181858062744
ic_mismatch,called,0,The man called the woman because he was there.,82,1,m,0.10046364367008209,0.0523090623319149,0.0212082602083683,0.17303410172462463,0.13285064697265625,0.06548546254634857
ic_mismatch,called,0,The man called the woman because she was there.,82,0,f,0.8130601048469543,0.9010032415390015,0.9000059366226196,0.7843942642211914,0.8293677568435669,0.810421347618103
ic_mismatch,called,0,The woman called the man because he was there.,82,0,m,0.881995677947998,0.9310015439987183,0.8795164227485657,0.7827581763267517,0.8389208912849426,0.7518380284309387
ic_mismatch,called,0,The woman called the man because she was there.,82,1,f,0.04882350564002991,0.028687121346592903,0.026229215785861015,0.17606677114963531,0.12456182390451431,0.09709461778402328
ic_mismatch,calmed,0,The man calmed the woman because he was there.,-53,1,m,0.38084137439727783,0.353593111038208,0.2776341140270233,0.7351126074790955,0.8309960961341858,0.35558515787124634
ic_mismatch,calmed,0,The man calmed the woman because she was there.,-53,0,f,0.33693215250968933,0.47666311264038086,0.3449585437774658,0.03417487442493439,0.03634702414274216,0.02506268210709095
ic_mismatch,calmed,0,The woman calmed the man because he was there.,-53,0,m,0.3478913903236389,0.5439903736114502,0.3312765657901764,0.02828500047326088,0.04354904219508171,0.02742256224155426
ic_mismatch,calmed,0,The woman calmed the man because she was there.,-53,1,f,0.35970187187194824,0.2787475883960724,0.2659468948841095,0.7776017189025879,0.8265642523765564,0.39643174409866333
ic_mismatch,calmed down,0,The man calmed down the woman because he was there.,-79,1,m,0.38510188460350037,0.3438289165496826,0.22222188115119934,0.6408986449241638,0.7939469218254089,0.30833518505096436
