consistent sent,right context consistent,right context inconsistent
SUBJ hinderde OBJ,omdat hij voor zijn ochtendritueel alle ruimte gebruikte.,omdat hij voor zijn ochtendritueel alle ruimte nodig had.
SUBJ fascineerde OBJ,omdat hij een persoon met een sterk karakter bleek te zijn.,omdat hij een persoon met een sterk karakter altijd interessant vond.
SUBJ respecteerde OBJ,omdat hij zowel theoretische als praktische vaardigheden in ruime mate bezat.,omdat hij zowel theoretische als praktische vaardigheden in een persoon waardeerde.
SUBJ bedankte OBJ,omdat hij de afgelopen weken bij de verhuizing zeer vaak onmisbaar was gebleken.,omdat hij de afgelopen weken bij de verhuizing haar hulp zeer gewaardeerd had.
SUBJ verafschuwde OBJ,omdat hij werkelijk altijd domme en botte opmerkingen tegen haar maakte.,omdat hij werkelijk altijd domme en botte opmerkingen ruzie van haar hoorde.
SUBJ hield van OBJ,omdat hij altijd zichzelf en ontzettend vrolijk was in haar aanwezigheid.,omdat hij altijd zichzelf en ontzettend vrolijk bij haar kon zijn.
SUBJ troostte OBJ,omdat hij na het horen van de uitslag toch wel erg teleurgesteld had gereageerd.,omdat hij na het horen van de uitslag zag hoe moeilijk ze het had.
SUBJ strafte OBJ,omdat hij deze week een zeer vervelende schooljongen was.,omdat hij deze week een zeer vervelende schoolmeester was.
SUBJ bekritiseerde OBJ,omdat hij de hele tijd alle moeilijke beslissingen aan haar over liet.,omdat hij de hele tijd alle moeilijke beslissingen helemaal alleen moest nemen.
SUBJ feliciteerde OBJ,omdat hij na zo’n goed gespeelde finale een schouderklopje zeker wel verdiende.,omdat hij na zo’n goed gespeelde finale een schouderklopje wel terecht vond.
SUBJ minachtte OBJ,omdat hij na al die jaren les nog steeds geen vooruitgang boekte.,omdat hij na al die jaren les nog steeds geen vooruitgang zag.
SUBJ benijdde OBJ,omdat hij de zo fel begeerde mountainbike wel had gekregen.,omdat hij de zo fel begeerde mountainbike niet had gekregen.
SUBJ prees OBJ,omdat hij weer een zeer goede prestatie voor de camera had neergezet.,omdat hij weer een zeer goede prestatie van haar had gezien.
SUBJ complimenteerde OBJ,omdat hij alles zo efficient en snel geregeld had.,omdat hij alles zo efficiënt en snel geregeld vond.
SUBJ stelde OBJ verantwoordelijk,omdat hij het financieel beleid van begin af aan had tegengewerkt.,omdat hij het financieel beleid van begin af aan had afgekeurd.
SUBJ haatte OBJ,omdat hij zo veel achterbakse en vuile streken had uitgehaald.,omdat hij zo veel achterbakse en vuile streken had moeten incasseren.
SUBJ ontsloeg OBJ,omdat hij nu eenmaal niet genoeg vertrouwen van de leiding had.,omdat hij nu eenmaal niet genoeg vertrouwen in haar capaciteiten had.
SUBJ bewonderde OBJ,omdat hij een groot talent voor beeldhouwen had laten zien.,omdat hij een groot talent voor beeldhouwen in haar had herkend.
SUBJ klaagde OBJ aan,omdat hij een grote som geld van het bedrijf verduisterd bleek te hebben.,omdat hij een grote som geld van het bedrijf tegoed bleek te hebben.
SUBJ vreesde OBJ,omdat hij door vele jaren van ervaring meer kans had.,omdat hij door vele jaren van ervaring haar klasse zag.
SUBJ aanbad OBJ,omdat hij als een echte Griekse god zo vaak al haar wensen had vervuld.,omdat hij als een echte Griekse god zo vaak viel voor de dochters van Zeus.
SUBJ waardeerde OBJ,omdat hij als wetenschapper altijd goede feedback aan haar gaf.,omdat hij als wetenschapper altijd goede feedback van haar kreeg.
